Equipo,Continente,Director Técnico,Nacionalidad
Rusia,Europa,Stanislav Cherchesov,Rusia
Arabia Saudita,Asia,Juan Antonio Pizzi,Argentina
Egipto,África,Héctor Cúper,Argentina
Uruguay,América del Sur,Óscar Tabárez,Uruguay
Portugal,Europa,Fernando Santos,Portugal
España,Europa,Julen Lopetegui,España
Marruecos,África,Hervé Renard,Francia
Irán,Asia,Carlos Queiroz,Portugal
Francia,Europa,Didier Deschamps,Francia
Australia,Oceanía,Bert van Marwijk,Holanda
Perú,América del Sur,Ricardo Gareca,Argentina
Dinamarca,Europa,Åge Hareide,Noruega
Argentina,América del Sur,Jorge Sampaoli,Argentina
Islandia,Europa,Heimir Hallgrímsson,Islandia
Croacia,Europa,Zlatko Dalić,Croacia
Nigeria,África,Gernot Rohr,Alemania
Brasil,América del Sur,Tite,Brasil
Suiza,Europa,Vladimir Petković,Bosnia y Herzegovina
Costa Rica,América Central,Oscar Ramírez,Costa Rica
Serbia,Europa,Mladen Krstajić,Serbia
Alemania,Europa,Joachim Löw,Alemania
México,América del Norte,Juan Carlos Osorio,Colombia
Suecia,Europa,Janne Andersson,Suecia
Corea del Sur,Asia,Shin Tae-yong,Corea del Sur
Bélgica,Europa,Roberto Martínez,España
Panamá,América Central,Hernán Darío Gómez,Colombia
Túnez,África,Nabil Maâloul,Túnez
Inglaterra,Europa,Gareth Southgate,Inglaterra
Colombia,América del Sur,Jose Pekerman,Argentina
Japón,Asia,Akira Nishino,Japón
Polonia,Europa,Adam Nawałka,Polonia
Senegal,África,Aliou Cissé,Senegal